CallDate,ALL BANKS
2001Q1,14135.876
2001Q2,15359.038
2001Q3,15902.693
2001Q4,15798.963
2002Q1,14184.162
2002Q2,13813.12
2002Q3,14400.821
2002Q4,13237.586
2003Q1,13424.291
2003Q2,13990.122
2003Q3,14512.603
2003Q4,15637.495
2004Q1,15850.061
2004Q2,16135.899
2004Q3,17436.604
2004Q4,18852.956
2005Q1,18832.631
2005Q2,19254.659
2005Q3,21317.497
2005Q4,21912.761
2006Q1,22034.702
2006Q2,22276.807
2006Q3,25800.685
2006Q4,27520.877
2007Q1,28386.041
2007Q2,28940.816
2007Q3,31317.293
2007Q4,33065.7
2008Q1,35468.309
2008Q2,37674.016
2008Q3,41699.559
2008Q4,42830.855
2009Q1,43432.179
2009Q2,43943.315
2009Q3,46745.319
2009Q4,48184.968
2010Q1,45734.892
2010Q2,45645.58
2010Q3,47159.994
2010Q4,51968.899
2011Q1,53820.296
2011Q2,56747.543
2011Q3,61028.498
2011Q4,62642.619
2012Q1,65282.032
2012Q2,65782.31
2012Q3,74624.597
2012Q4,77285.708
2013Q1,77087.865
2013Q2,80096.116
2013Q3,85993.503
2013Q4,91220.61
2014Q1,93583.136
2014Q2,96677.673
2014Q3,99788.072
2014Q4,104112.717
2015Q1,104022.135
2015Q2,109036.093
2015Q3,113269.907
2015Q4,118669.865
2016Q1,119926.452
2016Q2,126809.085
2016Q3,129245.153
2016Q4,133625.393
2017Q1,115463.612
2017Q2,117693.531
2017Q3,118543.667
2017Q4,121778.06
2018Q1,136760.376
2018Q2,133608.015
2018Q3,131085.951
2018Q4,131313.14
2019Q1,129494.984
